Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
LTR/Gypsy	Gypsy-33_GR-I	600	240	121	3	411356	0.64
LTR/Gypsy	Gypsy-33_ST-I	No_ref_available	2	2	0	523	0.00
LTR/Gypsy	Gypsy-33_VV-I	No_ref_available	5	3	0	4690	0.01
LTR/Gypsy	Gypsy-34_GR-I	8877	937	525	2	516870	0.81
LTR/Gypsy	Gypsy-34_Mad-I	No_ref_available	1	1	0	64	0.00
LTR/Gypsy	Gypsy-34_ST-I	No_ref_available	1	1	0	110	0.00
LTR/Gypsy	Gypsy-35_GR-I	10791	775	283	197	533797	0.84
LTR/Gypsy	Gypsy-36_GR-I	1540	119	90	72	73973	0.12
LTR/Gypsy	Gypsy-37_GR-I	5856	194	105	60	99289	0.16
LTR/Gypsy	Gypsy-38B_NS-I	No_ref_available	1	1	0	59	0.00
LTR/Gypsy	Gypsy-38_GR-I	1412	252	182	143	164461	0.26
LTR/Gypsy	Gypsy-39_GR-I	627	136	78	38	82628	0.13
LTR/Gypsy	Gypsy-3_MN-I	No_ref_available	2	2	0	1699	0.00
LTR/Gypsy	Gypsy-3_Mad-I	No_ref_available	1	1	0	319	0.00
LTR/Gypsy	Gypsy-40_GR-I	6233	182	81	36	76219	0.12
LTR/Gypsy	Gypsy-41_GR-I	13112	53	34	0	83712	0.13
LTR/Gypsy	Gypsy-42_GR-I	635	86	67	51	53915	0.08
LTR/Gypsy	Gypsy-43_GR-I	2315	1552	1089	731	891768	1.40
LTR/Gypsy	Gypsy-44_GR-I	7879	411	203	25	212607	0.33
LTR/Gypsy	Gypsy-45_GR-I	2367	613	478	262	283116	0.44
LTR/Gypsy	Gypsy-45_Mad-I	No_ref_available	2	1	0	1364	0.00
LTR/Gypsy	Gypsy-46_GR-I	7924	46	34	27	27706	0.04
LTR/Gypsy	Gypsy-47_GR-I	8652	149	90	35	137812	0.22
LTR/Gypsy	Gypsy-47_STu-I	No_ref_available	1	1	0	94	0.00
LTR/Gypsy	Gypsy-48_GR-I	2796	736	333	281	559138	0.88
