Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
LTR/Gypsy	Gypsy-82_ZM-I	No_ref_available	1	1	0	47	0.00
LTR/Gypsy	Gypsy-8_GR-I	2561	95	66	58	104064	0.18
LTR/Gypsy	Gypsy-8_JC-I	No_ref_available	5	5	0	479	0.00
LTR/Gypsy	Gypsy-8_NS-I	No_ref_available	2	2	0	1569	0.00
LTR/Gypsy	Gypsy-8_ST-I	No_ref_available	1	1	0	53	0.00
LTR/Gypsy	Gypsy-8_TC-I	No_ref_available	1	1	0	1913	0.00
LTR/Gypsy	Gypsy-93_ZM-I	No_ref_available	1	1	0	890	0.00
LTR/Gypsy	Gypsy-9_AIp-I	No_ref_available	2	1	0	406	0.00
LTR/Gypsy	Gypsy-9_BD-I	No_ref_available	1	1	0	910	0.00
LTR/Gypsy	Gypsy-9_GR-I	17568	832	379	229	889520	1.51
LTR/Gypsy	Gypsy-9_JC-I	No_ref_available	5	5	0	1012	0.00
LTR/Gypsy	Gypsy-9_Mad-I	No_ref_available	1	1	0	122	0.00
LTR/Gypsy	Gypsy1-PTR_I-int	No_ref_available	19	13	0	9092	0.02
LTR/Gypsy	Gypsy10-PTR_I-int	No_ref_available	1	1	0	42	0.00
LTR/Gypsy	Gypsy13-PTR_I-int	No_ref_available	1	1	0	90	0.00
LTR/Gypsy	Gypsy21-PTR_I-int	No_ref_available	2	2	0	295	0.00
LTR/Gypsy	OGRE-I_PS	No_ref_available	3	3	0	1732	0.00
LTR/Gypsy	Ogre-MT4_I-int	No_ref_available	2	2	0	2994	0.01
LTR/Gypsy	Ogre-PT1_I-int	No_ref_available	2	2	0	350	0.00
LTR/Gypsy	Ogre-PT2_I-int	No_ref_available	7	6	0	2292	0.00
LTR/Gypsy	Ogre-PT3_I-int	No_ref_available	27	27	0	1526	0.00
LTR/Gypsy	Ogre-VP1_I-int	No_ref_available	7	7	0	4028	0.01
LTR/Gypsy	RAM12_I-int	No_ref_available	4	4	0	190	0.00
LTR/Gypsy	RIRE8B_I-int	No_ref_available	1	1	0	51	0.00
LTR/Gypsy	RLG_scDEL_5_1-I	No_ref_available	1	1	0	142	0.00
###LTR/Gypsy	All_elements	NA	23273	13560	7480	18746910	31.8721

######Type:LTR	All_elements	NA	27315	15973	8378	22596973	38.4177

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	29377	17221	NA	24446187	41.5616

